f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
64,24,0,0,0,1000,1,1,0,0,1.1,0.9
64,64,0,0,0,1000,1,1,0,0,1.1,0.9
50,70,0,0,0,1000,1,1,0,0,1.1,0.9
103,103,0,0,0,1000,1,1,0,0,1.1,0.9
68,68,0,0,0,1000,1,1,0,0,1.1,0.9
68,5,0,0,0,1000,1,1,0,0,1.1,0.9
68,68,0,0,0,1000,1,1,0,0,1.1,0.9
5,5,0,0,0,1000,1,1,0,0,1.1,0.9
5,93,0,0,0,1000,1,1,0,0,1.1,0.9
8,9,0,0,0,1000,1,1,0,0,1.1,0.9
8,9,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
23,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
27,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
66,66,0,0,0,1000,1,1,0,0,1.1,0.9
46,46,0,0,0,1000,1,1,0,0,1.1,0.9
46,46,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
21,28,0,0,0,1000,1,1,0,0,1.1,0.9
28,28,0,0,0,1000,1,1,0,0,1.1,0.9
75,13,0,0,0,1000,1,1,0,0,1.1,0.9
50,69,0,0,0,1000,1,1,0,0,1.1,0.9
50,69,0,0,0,1000,1,1,0,0,1.1,0.9
50,50,0,0,0,1000,1,1,0,0,1.1,0.9
50,50,0,0,0,1000,1,1,0,0,1.1,0.9
50,50,0,0,0,1000,1,1,0,0,1.1,0.9
50,69,0,0,0,1000,1,1,0,0,1.1,0.9
69,69,0,0,0,1000,1,1,0,0,1.1,0.9
50,50,0,0,0,1000,1,1,0,0,1.1,0.9
50,50,0,0,0,1000,1,1,0,0,1.1,0.9
70,70,0,0,0,1000,1,1,0,0,1.1,0.9
70,70,0,0,0,1000,1,1,0,0,1.1,0.9
52,52,0,0,0,1000,1,1,0,0,1.1,0.9
52,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,72,0,0,0,1000,1,1,0,0,1.1,0.9
52,72,0,0,0,1000,1,1,0,0,1.1,0.9
52,52,0,0,0,1000,1,1,0,0,1.1,0.9
52,52,0,0,0,1000,1,1,0,0,1.1,0.9
52,65,0,0,0,1000,1,1,0,0,1.1,0.9
6,72,0,0,0,1000,1,1,0,0,1.1,0.9
72,52,0,0,0,1000,1,1,0,0,1.1,0.9
